ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,100.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.1%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.2%,87.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,70.3%,75.0%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,61.8%,100.0%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,54.4%,62.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.3%,100.0%
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,35.5%,75.0%
2526,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream,Find Consecutive Integers from a Data Stream,Medium,50.4%,100.0%
1614,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,Maximum Nesting Depth of the Parentheses,Easy,84.6%,100.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.5%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,62.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.9%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.0%,62.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.9%,62.5%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.9%,62.5%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,52.1%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.7%,62.5%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,59.8%,62.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,68.6%,62.5%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,57.3%,62.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.3%,62.5%
229,https://leetcode.com/problems/majority-element-ii,Majority Element II,Medium,55.4%,62.5%
