ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,100.0%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.9%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,62.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.5%,87.5%
228,https://leetcode.com/problems/summary-ranges,Summary Ranges,Easy,54.2%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,87.5%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.6%,87.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.4%,62.5%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,87.5%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.9%,100.0%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,51.3%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.2%,50.0%
2622,https://leetcode.com/problems/cache-with-time-limit,Cache With Time Limit,Medium,76.1%,100.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.4%,50.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.5%,62.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.4%,75.0%
743,https://leetcode.com/problems/network-delay-time,Network Delay Time,Medium,60.4%,75.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,50.0%,62.5%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.4%,75.0%
220,https://leetcode.com/problems/contains-duplicate-iii,Contains Duplicate III,Hard,24.8%,87.5%
904,https://leetcode.com/problems/fruit-into-baskets,Fruit Into Baskets,Medium,51.1%,50.0%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.3%,50.0%
797,https://leetcode.com/problems/all-paths-from-source-to-target,All Paths From Source to Target,Medium,83.6%,50.0%
1136,https://leetcode.com/problems/parallel-courses,Parallel Courses,Medium,62.2%,87.5%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,21.0%,75.0%
718,https://leetcode.com/problems/maximum-length-of-repeated-subarray,Maximum Length of Repeated Subarray,Medium,51.4%,50.0%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.8%,50.0%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.2%,50.0%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,47.0%,50.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.1%,50.0%
