ID,URL,Title,Difficulty,Acceptance %,Frequency %
437,https://leetcode.com/problems/path-sum-iii,Path Sum III,Medium,46.4%,87.5%
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.4%,87.5%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.3%,87.5%
1385,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,Find the Distance Value Between Two Arrays,Easy,71.8%,75.0%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.7%,75.0%
2659,https://leetcode.com/problems/make-array-empty,Make Array Empty,Hard,27.0%,87.5%
1905,https://leetcode.com/problems/count-sub-islands,Count Sub Islands,Medium,73.0%,75.0%
781,https://leetcode.com/problems/rabbits-in-forest,Rabbits in Forest,Medium,58.1%,75.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,50.0%,87.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.9%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,87.5%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,44.5%,75.0%
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,67.4%,87.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,100.0%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,47.0%,87.5%
962,https://leetcode.com/problems/maximum-width-ramp,Maximum Width Ramp,Medium,55.9%,75.0%
29,https://leetcode.com/problems/divide-two-integers,Divide Two Integers,Medium,19.8%,75.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.7%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,75.0%
687,https://leetcode.com/problems/longest-univalue-path,Longest Univalue Path,Medium,43.9%,100.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.8%,87.5%
3026,https://leetcode.com/problems/maximum-good-subarray-sum,Maximum Good Subarray Sum,Medium,21.9%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,75.0%
