ID,URL,Title,Difficulty,Acceptance %,Frequency %
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,49.7%,100.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,46.3%,87.5%
1160,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,Find Words That Can Be Formed by Characters,Easy,71.3%,87.5%
2133,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,Check if Every Row and Column Contains All Numbers,Easy,53.7%,87.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.3%,50.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.8%,50.0%
1604,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,Alert Using Same Key-Card Three or More Times in a One Hour Period,Medium,46.0%,87.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,54.5%,50.0%
383,https://leetcode.com/problems/ransom-note,Ransom Note,Easy,65.2%,62.5%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,49.6%,62.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.1%,50.0%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,63.7%,50.0%
