ID,URL,Title,Difficulty,Acceptance %,Frequency %
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,47.3%,50.0%
2468,https://leetcode.com/problems/split-message-based-on-limit,Split Message Based on Limit,Hard,42.1%,62.5%
532,https://leetcode.com/problems/k-diff-pairs-in-an-array,K-diff Pairs in an Array,Medium,45.3%,37.5%
546,https://leetcode.com/problems/remove-boxes,Remove Boxes,Hard,49.0%,37.5%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.9%,75.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,49.7%,87.5%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,49.4%,75.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,46.3%,50.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.0%,37.5%
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,77.4%,75.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.8%,50.0%
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,Find the Length of the Longest Common Prefix,Medium,56.8%,75.0%
1390,https://leetcode.com/problems/four-divisors,Four Divisors,Medium,46.0%,75.0%
2251,https://leetcode.com/problems/number-of-flowers-in-full-bloom,Number of Flowers in Full Bloom,Hard,57.6%,37.5%
3101,https://leetcode.com/problems/count-alternating-subarrays,Count Alternating Subarrays,Medium,57.0%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.5%,50.0%
2043,https://leetcode.com/problems/simple-bank-system,Simple Bank System,Medium,70.1%,100.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.8%,37.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.0%,50.0%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,56.3%,37.5%
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,18.1%,87.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,55.4%,87.5%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,Minimum Operations to Write the Letter Y on a Grid,Medium,63.5%,87.5%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.1%,75.0%
257,https://leetcode.com/problems/binary-tree-paths,Binary Tree Paths,Easy,67.7%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.4%,37.5%
1166,https://leetcode.com/problems/design-file-system,Design File System,Medium,65.0%,50.0%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,48.7%,62.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.3%,62.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.9%,50.0%
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,52.0%,50.0%
2169,https://leetcode.com/problems/count-operations-to-obtain-zero,Count Operations to Obtain Zero,Easy,79.9%,62.5%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.2%,62.5%
3045,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,Count Prefix and Suffix Pairs II,Hard,27.7%,62.5%
3042,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i,Count Prefix and Suffix Pairs I,Easy,77.7%,37.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,50.0%
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,40.8%,75.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,70.3%,37.5%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,57.6%,50.0%
3034,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,Number of Subarrays That Match a Pattern I,Medium,67.9%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,50.5%,37.5%
2817,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,Minimum Absolute Difference Between Elements With Constraint,Medium,35.8%,37.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,37.5%
539,https://leetcode.com/problems/minimum-time-difference,Minimum Time Difference,Medium,62.5%,50.0%
992,https://leetcode.com/problems/subarrays-with-k-different-integers,Subarrays with K Different Integers,Hard,67.0%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,37.5%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,67.4%,37.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.0%,50.0%
2021,https://leetcode.com/problems/brightest-position-on-street,Brightest Position on Street,Medium,60.6%,50.0%
1743,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,Restore the Array From Adjacent Pairs,Medium,74.9%,50.0%
1052,https://leetcode.com/problems/grumpy-bookstore-owner,Grumpy Bookstore Owner,Medium,64.0%,50.0%
2544,https://leetcode.com/problems/alternating-digit-sum,Alternating Digit Sum,Easy,68.8%,37.5%
896,https://leetcode.com/problems/monotonic-array,Monotonic Array,Easy,62.1%,37.5%
1814,https://leetcode.com/problems/count-nice-pairs-in-an-array,Count Nice Pairs in an Array,Medium,48.5%,37.5%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,49.3%,37.5%
