ID,URL,Title,Difficulty,Acceptance %,Frequency %
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.6%,75.0%
547,https://leetcode.com/problems/number-of-provinces,Number of Provinces,Medium,70.4%,87.5%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.2%,87.5%
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,66.8%,87.5%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.5%,100.0%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,49.1%,87.5%
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,72.6%,75.0%
1186,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,Maximum Subarray Sum with One Deletion,Medium,47.6%,87.5%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,63.0%,75.0%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,32.0%,75.0%
342,https://leetcode.com/problems/power-of-four,Power of Four,Easy,52.1%,75.0%
918,https://leetcode.com/problems/maximum-sum-circular-subarray,Maximum Sum Circular Subarray,Medium,50.2%,75.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.8%,75.0%
1889,https://leetcode.com/problems/minimum-space-wasted-from-packaging,Minimum Space Wasted From Packaging,Hard,33.6%,87.5%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,50.1%,87.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,75.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,75.0%
